V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21
0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.177771047499351,10.849895200833608,7.118092228040792,4.061732578856588,8.771820012229403,7.996940089223179,1.0309151078357195
0,0,0,0,0,0,0,0,0,0,0,0,0,8.326300509347972,37.42940020075085,63.415376676545456,58.459929685116414,54.33117483453187,54.73655346503938,21.037139857085624,0
0,0,0,0,0,0,0,0,0,0,0,0,4.692325251016034,30.588482902311654,59.314667391876434,41.200062278386916,19.18239202085795,16.27120795380298,10.698869659713935,3.0781185537479083,0
0,0,0,0,0,0,0,0,0,0,1.8466315572796037,7.836247157514384,11.71361292169209,16.571368938362202,22.675463438445988,6.0619364540866965,1.527149026355077,1.1812688487956162,0.28838786571534925,0,0
0,0,0,0,0,0,0,0,2.0150102400694565,8.334481757846852,11.310611292658482,6.38407591677931,2.7952111671551916,2.3346134668850658,2.5315534776470874,0,0,0,0,0,0
0,0,0,0,0,0,3.6034888816812876,7.407290144870916,0.6583283697315933,2.6327632909626244,3.253169085874733,1.1983144570374953,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2.7622266373872617,10.018202153144756,8.752214008586705,0,0,0,0,0,0,0,0,0,0,0,0,0
6.448124930292396,13.587768326251624,0,0,0.6610153518962144,10.070447892417683,20.41903846163725,2.1904313077127244,0,0,0,0,0,0,0,0,0,0,0,0,0
3.209317423072038,6.810473198093749,0,1.0534536483147157,5.697179614385118,10.512373974026808,6.532111618023824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.211788209706681,12.24141271982331,9.97254068653443,10.350822636997664,7.260445038120298,2.82641727379176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.384659709278738,19.356425098705287,5.571972060859871,7.838036786510518,11.358961391958067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.466672743856263,8.037666579419117,5.44151443587,32.511180564687976,59.231913559491055,19.237343575435098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.887179551910533,9.810387328435386,6.763729787868538,13.137417471764579,22.795683091357617,7.54351792212216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.2527776362902392,4.3571692108027875,2.1167298807754187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
