V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28
0,0.6891091754034395,0.8934679712651572,0.20542468446436532,12.002105097808702,12.66044586716778,11.77815166778732,7.424760132435001,28.036175507795004,17.548510737196928,12.378069534639138,26.655401689276474,17.449519724689523,7.8351178443585505,6.165102835169516,13.407721720747041,15.067251589655527,3.4809066177266454,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1.141020250643496,2.117150238962227,2.755178895608937,13.356801084001344,18.6855951486016,11.64270040783462,9.31977889046023,8.484692222127125,10.118589846253743,2.4893152532607465,0,25.395117008444714,52.43981468682404,37.0428199591944,30.53816939112631,13.927793241062158,2.0714001409412086,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
0.9429669556462537,1.7347443497270347,2.255971414270961,10.898973715043521,15.228747894630951,8.227229616172588,5.938270238242339,6.82939804101996,1.663297714247827,0,0,25.956187331257087,41.8511558418788,38.793381468769255,37.10395037555625,9.614383407258998,0.26370184870929003,10.21956824506862,13.408301667653499,3.188429890998445,0,0,NA,NA,NA,NA,NA,NA
0,0,0,0,0,2.4445094289028932,3.195345502043482,9.81296541428735,6.153884455989842,1.0383739767981466,0,10.979127422726002,5.45099471071309,10.864078782579748,13.386811044637941,32.17406564437342,20.484006134800133,26.089425604709934,29.564490077250774,9.187146764697196,0.6674927640529882,0,NA,NA,NA,NA,NA,NA
0,0,0,0,0,1.7349638668634,2.266967088361245,5.7219396373120865,7.293859810777748,1.7662396905106599,0,3.089806340005957,0.9635976386555181,0,0,26.610723176722704,44.0371971039118,63.18984127656856,68.36157506007802,46.37812346669566,9.499734791462915,0,0,NA,NA,NA,NA,NA
0,0,0,0,0,0,0,0,2.4240962876346206,6.165094459164306,7.108085957996334,2.5342302965513595,4.013793650346725,12.863016235776518,15.380769946518145,20.146087999890515,55.96956805613934,80.6039948625311,84.96021858511608,65.47694659548151,14.358259695514267,19.722039538420443,26.075760645316926,6.355461137202729,NA,NA,NA,NA
0,27.998738718803438,36.712329745450624,8.722277134136219,0,0,0,6.609489305205635,31.013582281054536,35.13884672336771,34.2373062361774,27.56230754898221,39.485944756304406,38.486277828742914,36.75333753451577,29.83060793281289,45.18617064454063,46.17801805964389,44.66371635473506,41.79918609142925,9.966347703372264,17.58737893358753,23.239334658292986,42.03012326813877,66.91542564007173,NA,NA,NA
2.4553925599682196,24.75944410990953,31.439255551389003,7.4902910243872745,0,0,0,6.40792844595995,31.35419580224302,44.24389013317578,46.03451346293765,59.24601245049893,56.68880242179099,49.84359132711626,48.35883322189701,50.15429669747905,64.86430554705419,60.664269226661716,57.87461771391371,42.975702652312634,9.35592613282556,9.235578625256638,12.255159707842552,64.00835558521094,79.11366431989387,78.12996212566496,NA,NA
26.95014103971039,9.275197518096087,1.0708579686788813,0.2569715991013863,0,0,0,0.7005336073611894,24.438191681295606,34.72239850031559,35.5991222466329,53.71505945274981,40.718087712349735,33.42917557763883,33.00812909996444,58.28290157359003,76.31063631043992,80.84329104664283,81.27519255978025,71.2862869460154,56.737746190539795,58.33464767979007,60.108589130960496,55.976556923282345,52.39308375214546,14.354855010874056,NA,NA
31.878957642059355,15.223737747366942,7.332001353871267,5.819342224465986,6.964560982930756,10.73280223956031,11.780124746513772,10.169146458361915,57.30882348899338,43.17239745183243,33.689293830284825,58.22071148919006,44.906432333125316,42.52294188213952,44.01978931459099,65.80148725744843,64.56649303232037,50.573564754962234,46.84643618153788,62.24883585008672,90.44543840386373,93.78894735798164,92.36234429119676,47.53952728499331,16.98394240271503,3.6210097280756766,0.9754870814833143,NA
8.984297033566275,6.767419941261842,5.628342483420132,4.911601192805545,14.560356568630052,48.78371825273944,58.79297089843859,38.85756143919898,71.73688899331322,55.13207528377555,45.64133874141929,70.01784479502984,40.21655668426348,51.275465646472355,58.92749705502336,65.6860465145716,38.022624360992296,15.28368799411143,11.019785735195887,23.608965419815085,78.35600605430105,95.71449323371785,95.8929051168828,51.92023260607496,9.356125849112889,0,0,NA
0,0,0,0,34.713723450176005,83.6001395310752,95.77902593932966,75.10659927913427,67.66521568749538,40.43117437025462,31.597146769218988,53.61845976239212,46.11296774396313,35.2577241960346,33.24216604411089,27.412382367900356,6.696004507678348,2.9399092138370544,3.7702939329264544,6.0731939913940245,35.827662396365625,67.26169740902245,74.55292229431417,44.422209768785066,8.66805054603324,0,0,0
0,0,0,0,38.1956626349187,78.30160421743578,87.30941259295,78.2084515063385,68.99197778346033,35.979816723820704,25.810492228010126,27.911851637930027,49.934588233128835,40.1809031593278,34.61241469944483,9.072483502336327,0.13422805743157262,30.90709021651133,41.32862401581277,36.26366573911926,13.225853433446629,19.78362301026759,24.422483758115376,30.017677487236444,21.033200390019495,4.42327304742433,0,0
0,0,0,0,32.72068191333855,58.05631978035769,62.8363439567274,58.59370671522309,64.6710875901704,47.23058177551981,40.64472230960511,38.402978414980154,35.789303751655666,31.55722645399722,30.335198080503538,9.574876008865495,4.240937428991887,51.87200345099835,67.7950624710963,76.34453791024995,56.98450308963233,34.17703401038392,28.996370680850532,26.559776779910365,36.7889008644625,10.437450819252426,0,0
9.96687283349462,0,0,0,18.3022817111987,25.864834558313262,26.3570454720909,25.109417212808633,27.879000947456333,22.510344884933225,20.351198277597828,27.75809200363184,15.37319207963926,9.965108255078537,9.824482582692742,3.8908928890711656,9.568474328027307,61.07944812606486,77.76627038428724,92.93515500361156,95.00776460259496,63.84360253164442,53.465258591520744,19.28334252804688,36.73575268611944,12.130728118568731,0,0
