V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36
0,0,0,0,0,0,0,60.96468980825534,65.45035548781527,54.353003854895555,49.75148540734758,49.52218752768329,34.445849963188486,33.77870312618115,4.162663964951992,2.4113011226226972,0.13447550735472336,0,0,4.880075679688073,5.143066427345762,3.5562579393899254,0.873352035826163,0.6675592594671497,0.030096963852748623,0,0,0,0,0,0,0,0,0,0,0
1.7720705090095907,1.7087510649808357,1.6549641453637278,1.6012161266892468,1.8494298348267255,1.209334646266822,1.152164381630235,22.676510797479416,23.40114989060644,40.808982270740756,39.6968362159753,40.02609954910191,12.204666311620928,11.80237348133728,0.21920717179172905,0,0,0.16775777019277865,0.15993280053218312,5.616896670864276,5.722619314370542,0.08023824676746535,5.919933411190112,6.000000000000001,0.16768804140749885,0.08572035575595822,8.14421949485875e-4,0,0.16054238629747195,0.1735484879527809,0.13177952051413097,0.13413415058986905,0.07133492016147815,0.0082377647333960885,0,0
3.2593435986673875,3.313167359286425,3.3669522206817804,3.42973911252093,4.150108200076023,2.8224587258730076,2.9082586790606495,5.816468853774908,6.2253304050172025,25.94972742538467,10.869159883794708,10.831534015976976,1.0973386478783818,1.0320225084556105,0.39626544822167403,0.36735113738574837,0.03932070911272436,1.830942830907777,1.8130722411794478,3.420274555064093,3.3822386210410293,0.12537206086038322,5.321376572916579,5.293105869002259,1.6434715046461053,1.536783582834273,0.28310486958304937,0.31656421669594337,3.0224709510654373,3.8435514248130507,3.9425286578539205,5.891750025558824,5.954891447687932,5.9200821722226165,3.9459771682045233,3.966968928772699
0,0,0,0,0,0,0,0,0.2838863657657488,5.051981423342602,1.4335819755266281,1.0361635474115964,5.430177455058909,5.190746728783015,1.6124909229876294,1.6026234753681554,1.2861926930728007,5.352753587780934,5.071820084438139,0,0,0,0,0.45307482029039514,7.299596963734826,7.1481459347815886,3.7343883776215385,3.715185983994514,2.676084202719313,0,0,0,0,0.043199114693218986,0.07150317745846939,0.11745776047865493
0,0,0,0,0,0,0,0,0.32434722919613634,3.4855366015052565,3.1834891344396814,0.9555786330868046,5.946450518697917,5.485982894856655,0.5681295709716934,1.0103570138425653,5.124968846963367,1.6851303788045435,1.5394308640842618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.49054984670441465,3.8080579326080644,3.7963042953685386,3.072595567560607,1.5873375284771982,1.7158048172623641,2.4450039614155106,2.4769677896548448,2.17092366419153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.2478707072492677,1.404052182059878,2.356871305919791,6.108685561815815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1.639843761442884,7.8370332114095245,9.637202707750712,13.381726583300804,2.370893124881234,1.7735725930226984,0,0,0,0,0,0,0,0,0.0583893702346572,0.19019644301401517,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2.8535753596113618,11.747502233446028,23.873809111211024,52.71698910298575,27.648898590223588,20.16198529293216,0,0,0,0,0,0,0,0,0.7533326075735837,2.24537244553673,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1.133197294528289,4.000000000000001,17.897028757238946,60.3493976344642,78.08335418128483,56.41038233130123,0,0,0,0,0,0,0,0,0.7951575221828727,1.97886279321435,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1.3588480887442809,4.216491539703205,2.8507438528543845,3.6346718934232127,11.417833071363571,7.82759822727483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1.8781568944753897,5.212112677493158,3.327430568350369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2.125889113706456,5.376798041518299,3.4895846440394425,0.5590814431009355,0.5971553752163281,1.7802816174415037,3.241529573480703,1.8108643123049752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1.0277906568084996,2.389933603077086,2.926560592659939,3.5459483349493546,5.298599361427011,15.651048636585035,25.949408404707004,14.38856884416983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
