V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
0,0,0,0,0,11.847570917213586,59.06761809755278,61.80574228556448,38.06171703153907,25.148075701428,50.64071892350605,50.04822953890495,7.290453511012107,0.2768791385995105,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,7.882853844430333,51.55362950874079,46.35706366206695,43.86800113932665,4.864762802296148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,37.992578009201594,68.72563662063077,22.324269350358364,12.178838683931799,1.9409967669070962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.552465278117303,0.6521608596442383,3.0511764118053546,4.3170623651049755,52.61563500985751,28.090544091443334,3.782202089696888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.096940345125148,13.148847343842306,19.189133556053463,22.0119663592443,18.756207537516453,4.509862452182008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.659166982854472,38.88641408452994,33.76298990416914,27.851675634056697,8.632259765544411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
