V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
100,100,100.00000000000001,100.00000000000001,100,100,100.00000000000001,100,100,100,100,100,100,100,100,100,100,100,100.00000000000001,100
100,99.99999999999999,100.00000000000003,100,100,100.00000000000001,100,100.00000000000001,100.00000000000001,100,100,100,100,100.00000000000001,100,100,100,100,100.00000000000001,100.00000000000001
100,100.00000000000001,100,100.00000000000001,100.00000000000001,100.00000000000001,100,100,100.00000000000003,100.00000000000001,100.00000000000001,100.00000000000001,100,100,100,100.00000000000001,100.00000000000001,100.00000000000001,100,100.00000000000001
100.00000000000001,100,100.00000000000001,100,100,100,100,100.00000000000001,100.00000000000001,100,100,100.00000000000001,100.00000000000001,100,99.99999999999999,100,100,100.00000000000001,99.99999999999999,100
99.99999999999999,100,100.00000000000001,100.00000000000001,100,100,99.99999999999999,100.00000000000003,100,100,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,100,100,99.99999999999999,100.00000000000003,100,100
100,99.99999999999999,100.00000000000001,100,100.00000000000001,100.00000000000001,100.00000000000001,100,100,100,100,100,100,100,100,100,100,100.00000000000001,100,100.00000000000001
100,100.00000000000001,100.00000000000001,100,100.00000000000001,100,100,100.00000000000001,100,99.99999999999999,100,100.00000000000001,100.00000000000001,100,100,100,100.00000000000001,100.00000000000003,100.00000000000001,100
100,100.00000000000001,100.00000000000001,100,100,100,99.99999999999999,100.00000000000003,100,100,100,100,100,100,100,100.00000000000001,100,100,100,100.00000000000001
100.00000000000001,100,100.00000000000003,100,100.00000000000001,100,99.99999999999999,100.00000000000001,100,100.00000000000001,100,100,100.00000000000001,100,100.00000000000001,100,100,100,100,99.99999999999999
100,100.00000000000001,99.99999999999999,100,100,100.00000000000001,100.00000000000001,100,100.00000000000001,100,100.00000000000001,100,100,100,100,100,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001
99.99999999999999,100.00000000000001,100,99.99999999999999,100,100,100,100,99.99999999999999,100,100,100.00000000000001,100.00000000000003,100,100,100,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001
100.00000000000001,100.00000000000001,100.00000000000001,99.99999999999999,100,100,100,100.00000000000001,100.00000000000001,100,100,100.00000000000001,100,100,99.99999999999999,100,99.99999999999999,100.00000000000001,100.00000000000001,100.00000000000001
100,100.00000000000001,100.00000000000001,100,100,100,100.00000000000001,100.00000000000003,100.00000000000001,99.99999999999999,100.00000000000001,100,100,99.99999999999999,100,100,100,100.00000000000001,100,99.99999999999999
100,100,100.00000000000001,100,100,100,99.99999999999999,100,100.00000000000001,100,100.00000000000001,100,100.00000000000003,100,100.00000000000001,100,100,100,100,100
100,100.00000000000001,100,100.00000000000001,100,100,100,100.00000000000003,100,100,100,100,100.00000000000001,100,100,100,100.00000000000001,100.00000000000001,100,100
100,100.00000000000001,100.00000000000001,100,100,100,100,100.00000000000001,99.99999999999999,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000003,99.99999999999999,100,100,100,100.00000000000001,100,100
100,100.00000000000003,100.00000000000001,100.00000000000001,100,100.00000000000001,100.00000000000003,100.00000000000001,100,100,100,100.00000000000003,100,100.00000000000003,100,100.00000000000001,100.00000000000003,100,100,100
100,100.00000000000001,100.00000000000001,100.00000000000001,100,100.00000000000001,100,100.00000000000001,100,100,100,100.00000000000001,100.00000000000003,100.00000000000001,99.99999999999999,100.00000000000001,100,100.00000000000003,100,100
100,100.00000000000001,100.00000000000003,100,100,100,100,100.00000000000001,100,100,100.00000000000001,100,100.00000000000001,100,100,100,100.00000000000001,100,100.00000000000001,100
